KOD_SUKL;DATOD;DATDO;POVOL_BALENI;UCEL;PRACOVISTE;DISTRIBUTOR;POZNAMKA;PREDKLADATEL;VYROBCE
0104952;28.07.2022;31.01.2024;225;Léčba těhotných žen, které jsou ohroženy hypertenzí (preeklampsie a eklampsie).;Poskytovatelé zdravotních služeb formou lůžkové péče v oboru gynekologie a porodnictví.;PHOENIX lékárenský velkoobchod, s.r.o., K Pérovně 945/7, 102 00 Praha 10 - Hostivař;"Léčivý přípravek TRANDATE je možné distribuovat do 31. 5. 2023. Léčivý přípravek dodaný do lékáren je možné vydávat a používat při poskytování zdravotních služeb po dobu jeho doby použitelnosti.
65 balení šarže F6068 (doba použitelnosti 12/2023)
160 balení šarže F6069 (doba použitelnosti 1/2024).";Aspen Pharma Trading Limited, Lake Drive 3016, Citywest Business Campus, Dublin 24, Irsko;CENEXI, 52, rue Marcel et Jacques Gaucher, 94120 Fontenay-Sous-Bois, Francie
0115527;10.03.2023;31.03.2025;27000;"Zajištění léčivého přípravku pro léčbu urátových kamenů a pro metafylaxi (prevenci
recidiv) kalciových, urátových a smíšených kamenů (kalcium/oxalát/urátových nebo
kalcium-oxalátových/kalcium-fosfátových). Léčivý přípravek je určen pro léčbu
dospělých a dětí starších 12 let.";Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;PHOENIX lékárenský velkoobchod, s.r.o., K pérovně 945/7, Hostivař, 102 00 Praha 10;;Viatris CZ s.r.o., Evropská 2590/33c, Dejvice, 160 00 Praha 6;Madaus GmbH, Lütticher Straße 5, 53842 Troisdorf, Německo
0115528;24.05.2021;30.06.2026;45;Zajištění pohotovostní zásoby léčivého přípravku pro léčbu těžkých otrav kyanidy, kyanovodíkem, nitrily (sloučeninami s kyanoskupinou -C N) a spalinami uvolňujícími se z doutnajících požárů a hořících plastů (pozn. není-li dostupné antidotum nezpůsobující methemoglobinémii).;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenský velkoobchod, s.r.o., K pérovně 945/7, Hostivař, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, prostřednictvím Toxikologického informačního střediska Kliniky pracovního lékařství;Dr. Franz Köhler Chemie GmbH, Werner-von Siemens-Str. 14-28, 64625, Bensheim, Německo
0136446;21.07.2022;31.07.2024;6800;Léčba akutní leukemie a navození remise, udržovací léčba akutní lymfoblastické leukemie a akutní myeloidní leukemie. Léčivý přípravek je určen pro děti, mladistvé a dospělé pacienty.;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče v oborech HEM a ONK;PHOENIX lékárenský velkoobchod, s.r.o., K Pérovně 945/7, 102 00 Praha 10 - Hostivař;;"Aspen Pharma Trading Limited, 3016 Lake Drive, 24 Dublin, Irsko
";"Excella GmbH & Co. KG, Nürnberger Strasse 12, Feucht, 90537, Německo
Aspen Bad Oldesloe GmbH, Industriestrasse 32-36, Bad Oldesloe, 23843, Německo"
0154809;23.11.2021;30.11.2026;150;"Zajištění pohotovostní zásoby léčivého přípravku s léčivou látkou fysostigmin jako antidota pro léčbu otrav doprovázených těžkým centrálním anticholinergním syndromem, např. alkoholem, tropanovými alkaloidy (hyoscyamin, atropin, skopolamin; např v rodech rostlin Durmanovec, Durman, Rulík), muchomůrkou tygrovanou a muchomůrkou červenou; tricyklickými antidepresivy (amitriptylin, imipramin, trimipramin, klomipramin, doxepin), antiemetiky/antihistaminiky (fenothiazin, thioridazin, chlorpromazin, promethazin, difenhydramin, dimenhydrinát), neuroleptiky (zejména butyrofenony), benzodiazepiny, spasmolytiky (tolterodin, oxybutynin), antiparkinsoniky (amantadin, difenhydramin), baklofenem, kyselinou gama-hydroxymáselnou, inhalačními anestetiky, ketaminem, 3-chinuklidinyl benzylátem.";Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenský velkoobchod, s.r.o., K pérovně 945/7, Hostivař, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, prostřednictvím Toxikologického informačního střediska Kliniky pracovního lékařství;Dr.Franz Köhler Chemie GmbH, Werner-von-Siemens-Str. 14-28, D-64625 Bensheim, Německo
0185085;11.03.2022;28.02.2027;100;Zajištění pohotovostní zásoby léčivého přípravku pro léčbu akutní intoxikace jedem zmije obecné a dalších zmijí (jde o hypoalergenní antisérum vhodné pro děti a alergické osoby).;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenský velkoobchod, s.r.o., K pérovně 945/7, Hostivař, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, prostřednictvím Toxikologického informačního střediska Kliniky pracovního lékařství;MicroPharm Ltd, Station Road Industrial Estate, Newcastle Emlyn, SA38 9BY, Spojené království Velké Británie a Severního Irska
0185181;15.12.2021;31.12.2024;4200;Parenterální výživa u nedonošených a donošených novorozenců, kojenců a dětí, u kterých je vyžadována parenterální výživa k pokrytí základních požadavků na stopové prvky (doporučená dávka je 1ml přípravku PEDITRACE na kg tělesné hmotnosti a den pro novorozence, kojence a děti s maximální tělesnou hmotností do 15 kg). Do tohoto léčebného programu mohou být zařazeny děti do 4 let věku, resp. do hmotnosti 15 kg (pro děti nad 4 roky věku, resp. s tělesnou hmotností větší než 15 kg lze použít registrované léčivé přípravky).;"Poskytovatelé zdravotních služeb formou lůžkové péče v oboru neonatologie a pediatrie; případně v rámci zdravotní péče poskytované ve vlastním sociálním prostředí pacienta (domácí péče).";společnost Fresenius Kabi s.r.o.;;Fresenius Kabi s.r.o., se sídlem Na strži 1702/65, Nusle, 140 00 Praha 4, IČO: 251 35 228;Fresenius Kabi Norge AS, Halden, Norsko
0185261;22.12.2022;31.12.2024;11000;Léčba dospělých pacientů (mužů a žen) s neinvazivním karcinomem urotelu močového měchýře.;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče se specializací v oborech urologie, urogynekoonkologie, klinická onkologie.;"- PHOENIX, lékárenský velkoobchod, s.r.o., K Pérovně 945/7, Hostivař, 102 00 Praha 10
- PHARMOS a.s., Těšínská 1349/296, Radvanice, 716 00 Ostrava
- ViaPharma s.r.o., Na Florenci 2116/15, Nové Město, 110 00 Praha 1
- Alliance Healthcare s.r.o., Podle Trati 624/7, 10 800 Praha 10-Malešice";;Medac Gesellschaft für klinische Spezialpräparate m.b.H., Theaterstr. 6, 22880 Wedel, Spolková republika Německo;Medac Gesellschaft für klinische Spezialpräparate m.b.H., Theaterstr. 6, 22880 Wedel, Spolková republika Německo
0185266;03.05.2022;30.04.2024;16800;V souladu se souhrnem údajů o přípravku je léčivý přípravek FLUDROCOTISON indikován k léčbě pacientů s primární adrenokortikální insuficiencí (Addisonova choroba) a sekundární adrenokortikální insuficiencí s minerálovým rozvratem či hypotenzí, pacientů po operaci nadledvin, pacientů s adrenogenitálním syndromem s vysokými ztrátami soli. Na základě rozhodnutí ošetřujícího lékaře pacienta lze v souladu s doporučeními odborných společností léčivý přípravek FLUDROCOTISON použít při léčbě těžkých forem ortostatické hypotenze.;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče v oborech vnitřní lékařství, dětské lékařství, praktické lékařství pro děti a dorost, endokrinologie (včetně dětské), kardiologie.;PHOENIX lékárenský velkoobchod, s.r.o., K Pérovně 945/7, 102 00 Praha 10 - Hostivař;;Viatris CZ s.r.o., se sídlem Evropská 2590/33c, 160 00 Praha 6 - Dejvice, IČO: 034 81 778;Haupt Pharma Amareg GmbH, Donaustaufer Straße 378, 93055 Regensburg, Německo
0185321;04.11.2021;31.10.2024;45;"Zajištění léčivého přípravku s léčivou látkou alemtuzumab pro léčbu pacientů starších 18 let, který je
indikován po transplantaci orgánů jako léčba 2. linie v případě:
- indukční léčby u pacientů s vysokým imunologickým rizikem, u kterých není možná léčba králičím antithymocytárním globulinem nebo se nepředpokládá jeho dostatečná účinnost,
- záchranné léčby u pacientů s biopticky ověřenou refrakterní akutní celulární
rejekcí.
Léčba je nejčastěji indikována po transplantaci ledvin a ve výjimečných případech po transplantaci jiných orgánů. Toto léčebné použití alemtuzumabu je v souladu s Doporučeným postupem Společnosti pro orgánové transplantace ČLS JEP pro léčbu alemtuzumabem u nemocných po transplantaci orgánů.";Klinika nefrologie, Transplantcentrum IKEM;sanofi-aventis, s.r.o., Evropská 846/176a, 160 00 Praha 6 - Vokovice;;Institut klinické a experimentální medicíny, Vídeňská 1958/9, 140 21 Praha 4;Genzyme Limited, 37 Hollands Road, Haverhill, CB9 8PU, Velká Británie
0185321;12.10.2022;31.10.2024;20;"Zajištění dostupnosti léčivého přípravku Campath pro dětské pacienty k prevenci akutní/chronické reakce štěpu proti hostiteli po alogenní transplantaci kmenových buněk krvetvorby od alternativních dárců; k léčbě dětí s hemofagocytující lymfohistiocytózou (FHL/HLH); k léčbě dětí s rezistentní formou akutní/chronické reakce štěpu proti hostiteli po alogenní transplantaci kmenových buněk krvetvorby; k léčbě po-transplantační imunní cytopenie.
Toto léčebné použití alemtuzumabu je v souladu s doporučeními European Society for Blood and Marrow Transplantation (EBMT) a European Society for Immunodeficiencies (ESID)-Guidelines for Haematopoietic Stem Cell Transplantation For Primary Immunodeficiencies z roku 2017, resp. EBMT/ESID Inborn Errors Woorking Party Guidelines for Hematopoietic Stem Cell Transplantation for Inborn Errors of Immunity z roku 2021, https://esid.org/Working-Parties/Clinical-Working-Party/Resources/UPDATED-and-Published%21-EBMT-ESID-GUIDELINES-FOR-HAEMATOPOIETIC-STEM-CELL-TRANSPLANTATION-FOR-PI";Klinika dětské hematologie a onkologie 2. LF UK a FN Motol, Fakultní nemocnice v Motole, V Úvalu 84, 150 06 Praha 5 - Motol;sanofi-aventis, s.r.o., Evropská 846/176a, 160 00 Praha 6 - Vokovice;;Fakultní nemocnice v Motole, V Úvalu 84, 150 06 Praha 5 - Motol;Genzyme Limited, 37 Hollands Road, Haverhill, CB9 8PU, Velká Británie
0185321;30.08.2021;31.08.2023;560;"Zajištění léčivého přípravku s léčivou látkou alemtuzumab pro léčbu:
- dospělých pacientů s chronickou lymfocytární leukemií (CLL), kteří jsou
refrakterní na léčbu standardními přípravky registrovanými v České republice,
- dospělých pacientů s T-prolymfocytární leukemií,
- dospělých pacientů s CLL indukovanou autoimunní hemolytickou anémií
či autoimunitní trombocytopenií, s dalšími lymfoproliferativními onemocněními.
Ošetřující lékaři by měli postupovat v souladu s doporučením České skupiny
pro chronickou lymfocytární leukémii České hematologické společnosti České
lékařské společnosti J. E. Purkyně (Doporučení pro diagnostiku a léčbu chronické
lymfocytární leukemie (CLL) 2021; odkaz https://cll.cz/sites/default/files/2021-
01/Doporu%C4%8Den%C3%AD_%C4%8CSCLL_2021_final_28012021_web.pdf).";"Interní hematologická a onkologická klinika, Fakultní nemocnice Brno, Jihlavská 20, 625 00 Brno,
Interní klinika hematologie, Všeobecná fakultní nemocnice v Praze, U nemocnice 499/2, 128 08 Praha 2,
Ústav hematologie a krevní transfúze, U nemocnice 2094/1, 128 20 Praha 2,
IV. interní hematologická klinika, Fakultní nemocnice Hradec Králové, Sokolská 581, 500 05 Hradec Králové,
Interní hematologická klinika, Fakultní nemocnice Královské Vinohrady, Šrobárova 1150/50, 100 34 Praha 10,
Hematologicko-onkologické oddělení, Fakultní nemocnice Plzeň, Alej Svobody 80, 304 60 Plzeň-Lochotín,
Hemato-onkologická klinika, Fakultní nemocnice Olomouc, I.P. Pavlova 185/6, 779 00 Olomouc,
Klinika hematoonkologie, Fakultní nemocnice Ostrava, 17. listopadu 1790/5, 708 52 Ostrava-Poruba.";sanofi-aventis, s.r.o., Evropská 846/176a, 160 00 Praha 6 - Vokovice.;;sanofi-aventis, s.r.o., Evropská 846/176a, 160 00 Praha 6 - Vokovice.;Genzyme Limited, 37 Hollands Road, Haverhill, CB9 8PU, Velká Británie
0185335;15.01.2021;31.12.2023;1200;Léčba dědičné poruchy metabolismu biotinu.;Klinika pediatrie a dědičných poruch metabolismu, Všeobecná fakultní nemocnice v Praze, U Nemocnice 499/2, 128 08 Praha 2.;PHOENIX, lékárenský velkoobchod, s.r.o., K pérovně 945/7, Hostivař, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, Klinika pediatrie a dědičných poruch metabolismu, Metabolické centrum, Ke Karlovu 455/2, 120 00, Praha 2;mibe GmbH Arzneimittel, Münchener Straße 15, 06796 Brehna, Německo
0185374;07.10.2021;30.11.2023;199;"Zajištění léčivého přípravku s obsahem léčivé látky cyclophosphamidum v perorální lékové formě. Léčivý přípravek je určen k použití jako součást kombinovaných chemoterapeutických režimů či v monoterapii v indikacích:
I. v souladu s platným souhrnem údajů o přípravku (SPC) léčivého přípravku, který bude používán v rámci léčebného programu:
- adjuvantní terapie karcinomu prsu po resekci nádoru nebo mastektomii;
- paliativní léčba metastatického karcinomu prsu;
- leukémie - akutní nebo chronická lymfoblastická/lymfatická a myeloidní leukémie;
- maligní lymfomy - Hodgkinova choroba, non-Hodgkinský lymfom, plazmocytom;
- metastazující a nemetastazující maligní solidní tumory - karcinom ovaria, testikulární karcinom, malobuněčný bronchiální karcinom, neuroblastom, Ewingův sarkom, rhabdomyosarkom u dětí, osteosarkom;
- autoimunitní onemocnění - revmatoidní artritida, systémový lupus erythematodes, (např. s nefritickým syndromem), určité typy glomerulonefritid (např. s nefritickým syndromem), Wegenerova granulomatóza.
II. dle individuálních potřeb pacienta na základě rozhodnutí lékaře v případech, kdy pro léčbu lze použít perorální lékovou formu s léčivou látkou cyclophosphamidum.
- progresivní autoimunitní onemocnění - např. psoriatická artropatie, sklerodermie, systémová vaskulitida (např. s nefritickým syndromem), syndromem), myasthenia gravis, autoimunní hemolytická anémie, choroby charakterizované chladovou aglutinací;
- imunosupresivní farmakoterapie při transplantacích orgánů;
- příprava na allogenní transplantaci kostní dřeně - závažná aplastická anémie, akutní myeloidní a akutní lymfoblastická leukémie, chronická myeloidní leukémie.";Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;BAXTER CZECH spol. s r.o.;;BAXTER CZECH spol. s r.o.;Baxter Oncology GmbH, Německo
0185376;29.03.2023;31.03.2025;11000;"Zabezpečení léčivého přípravku s léčivou látkou liothyronin v následujících terapeutických indikacích:
- léčba při nemožnosti normalizace funkce štítné žlázy u pacientů dlouhodobě léčených levothyroxinem;
- doplňková léčba k dosažení suprese TSH u některých karcinomů TSH dependentních, některých typů prosté strumy a některých uzlů štítné žlázy;
- léčba myxedémového kómatu (v kombinaci s T4);
- provedení T3 supresního testu při podezření na syndrom rezistence tyreoidálními hormony a v jeho diferenciální diagnostice;
- provedení T3 supresního testu při scintigrafii štítné žlázy (v diferenciální diagnostice toxického adenomu);
- krátkodobá substituční léčba před podáním radioaktivního jódu (131I) u pacientů dlouhodobě léčených levothyroxinem.
Léčivý přípravek je určen pro léčbu dospělých a dětí starších 6 let. Použití léčivého přípravku je kontraindikováno u těhotných pacientek nebo pacientek plánujících graviditu.";Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče (pracoviště endokrinologie, vnitřního lékařství, dětského lékařství, praktického lékařství pro děti a dorost).;sanofi-aventis, s.r.o., Evropská 846/176a, 160 00 Praha 6;;Českou endokrinologickou společností České lékařské společnosti Jana Evangelisty Purkyně;Patheon France, 40, Boulevard De Champaret, 38300 Bourgoin-Jallieu, Francie
0185384;24.05.2021;31.05.2026;;Zajištění pohotovostní zásoby léčivého přípravku pro léčbu kožní, mukokutánní a viscerální leishmaniózy.;"Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze).
";PHOENIX lékárenský velkoobchod, s.r.o., K pérovně 945/7, Hostivař, 102 00 Praha 10;750 ampulek (platí pro oba přípravky celkem);Všeobecná fakultní nemocnice v Praze, prostřednictvím Toxikologického informačního střediska Kliniky pracovního lékařství;"Haupt Pharma Livron S.A.S., 1 Rue Comte de Sinard 26250 Livron, Francie 
 Famar Health Care Services Madrid S.A.U., Avenida Leganés 62, 28923 Alcorcón, Madrid, Španělsko."
0185386;24.05.2021;31.05.2026;200;Zajištění pohotovostní zásoby léčivého přípravku pro perorální antirelabsovou léčbu malárie terciány vyvolané původci Plasmodium vivax nebo Plasmodium ovale. Léčivý přípravek není vhodné podávat dětem s tělesnou hmotností nižší než 30 kg nebo dětem s mírnou nebo středně závažnou formou deficitu glukóza-6-fosfát-dehydrogenázy (G6PD) s tělesnou hmotností nižší než 20 kg.;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze);PHOENIX lékárenský velkoobchod, s.r.o., K pérovně 945/7, Hostivař, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, prostřednictvím Toxikologického informačního střediska Kliniky pracovního lékařství;sanofi-aventis Canada Inc., Laval, Quebec, H7V 0A3, Kanada
0185387;24.05.2021;31.05.2026;150;"Zajištění pohotovostní zásoby léčivého přípravku pro intravenózní (popř. intramuskulární) léčbu komplikované (maligní) malárie vyvolané původcem Plasmodium falciparum, popř. Plasmodium knowlesi, či pro léčbu těžkého průběhu malárie terciány vyvolané Plasmodium vivax.
Léčivý přípravek lze použít pro léčbu babesióz (https://www.ecdc.europa.eu/en/all-topics-z/babesiosis/facts-about-babesiosis; https://www.cdc.gov/parasites/babesiosis/health_professionals/index.html#tx).
Vzhledem k tomu, že v souhrnu údajů o přípravku není uvedena indikace léčba babesióz, doporučuje se léčbu tohoto onemocnění konzultovat s infektologem.";Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenský velkoobchod, s.r.o., K pérovně 945/7, Hostivař, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, prostřednictvím Toxikologického informačního střediska Kliniky pracovního lékařství;Sanofi Winthrop Industrie,1 Rue de La Vierge, 33440 Ambares, Francie
0185389;07.04.2021;30.04.2026;;"Zajištění pohotovostní zásoby léčivého přípravku - hyperimunního imunoglobulinu pro:
- léčbu či profylaxi varicely po kontaktu u novorozence a dítěte do 1 roku věku s imunodefektem; tzn. novorozenci v inkubaci varicely od matky, která onemocněla v době kolem porodu (5 - 7 dní před porodem až 2-7 dní po porodu) a děti do 1 roku věku se závažnou poruchou imunity, které se dostaly do přímého kontaktu s varicelou.
- profylaxe varicely u těhotných žen
Doporučený postup profylaxe a léčby varicely u těhotných a novorozenců Společnosti infekčního lékařství České lékařské společnosti J. E. Purkyně
(https://www.infekce.cz/DPVaricGrav18.htm).";Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze).;Reg-Pharm, s.r.o., Fialková 2163/45, Záběhlice, 106 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, prostřednictvím Toxikologického informačního střediska Kliniky pracovního lékařství;Biotest Pharma GmbH, Německo
