ATC;NT;NAZEV;NAZEV_EN
A01AC01;N;TRIAMCINOLON;TRIAMCINOLONE
A01AC02;N;DEXAMETHASON;DEXAMETHASONE
A01AC03;N;HYDROKORTISON;HYDROCORTISONE
A01AC04;N;PREDNISOLON;PREDNISOLONE
A01AC54;N;PREDNISOLON, KOMBINACE;PREDNISOLONE, COMBINATIONS
A01AD;N;JINÁ LÉČIVA PRO LOKÁLNÍ LÉČBU V DUTINĚ ÚSTNÍ;OTHER AGENTS FOR LOCAL ORAL TREATMENT
A01AD01;N;EPINEFRIN;EPINEPHRINE
A01AD02;N;BENZYDAMIN;BENZYDAMINE
A01AD05;N;KYSELINA ACETYLSALICYLOVÁ;ACETYLSALICYLIC ACID
A01AD06;N;ADRENALON;ADRENALONE
A01AD07;N;AMLEXANOX;AMLEXANOX
A01AD08;N;BEKAPLERMIN;BECAPLERMIN
A01AD11;N;RŮZNÁ JINÁ LÉČIVA PRO LOKÁLNÍ LÉČBU V DUTINĚ ÚSTNÍ;VARIOUS
A02;N;LÉČIVA K TERAPII ONEMOCNĚNÍ SPOJENÝCH S PORUCHOU ACIDITY;DRUGS FOR ACID RELATED DISORDERS
A02A;N;ANTACIDA;ANTACIDS
A02AA;N;SLOUČENINY HOŘČÍKU;MAGNESIUM COMPOUNDS
A02AA01;N;UHLIČITAN HOŘEČNATÝ;MAGNESIUM CARBONATE
A02AA02;N;OXID HOŘEČNATÝ;MAGNESIUM OXIDE
A02AA03;N;PEROXID HOŘEČNATÝ;MAGNESIUM PEROXIDE
A02AA04;N;HYDROXID HOŘEČNATÝ;MAGNESIUM HYDROXIDE
A02AA05;N;KŘEMIČITAN HOŘEČNATÝ;MAGNESIUM SILICATE
A02AA10;N;SLOUČENINY HOŘČÍKU, KOMBINACE;COMBINATIONS
A02AB;N;SLOUČENINY HLINÍKU;ALUMINIUM COMPOUNDS
A02AB01;N;HYDROXID HLINITÝ;ALUMINIUM HYDROXIDE
A02AB02;N;ALGELDRÁT;ALGELDRATE
A02AB03;N;FOSFOREČNAN HLINITÝ;ALUMINIUM PHOSPHATE
A02AB04;N;UHLIČITAN DIHYDROXYHLINITO-SODNÝ;DIHYDROXIALUMINI SODIUM CARBONATE
A02AB05;N;ALUMINIUM-ACETYLACETONÁT;ALUMINIUM ACETOACETATE
A02AB06;N;ALOGLUTAMOL;ALOGLUTAMOL
A02AB07;N;DIHYDROXYALUMINIUM-GLYCINÁT;ALUMINIUM GLYCINATE
A02AB10;N;SLOUČENINY HLINÍKU, KOMBINACE;COMBINATIONS
A02AC;N;SLOUČENINY VÁPNÍKU;CALCIUM COMPOUNDS
A02AC01;N;UHLIČITAN VÁPENATÝ;CALCIUM CARBONATE
A02AC02;N;KŘEMIČITAN VÁPENATÝ;CALCIUM SILICATE
A02AC10;N;SLOUČENINY VÁPNÍKU, KOMBINACE;COMBINATIONS
A02AD;N;KOMBINACE A KOMPLEXY SLOUČENIN HLINÍKU, VÁPNÍKU A HOŘČÍKU;COMBINATIONS AND COMPLEXES OF ALUMINIUM, CALCIUM AND MAGNESIUM COMPOUNDS
A02AD01;N;KOMBINACE BĚŽNÝCH SOLÍ;ORDINARY SALT COMBINATIONS
A02AD02;N;MAGALDRÁT;MAGALDRATE
A02AD03;N;ALMAGÁT;ALMAGATE
A02AD04;N;HYDROTALCIT;HYDROTALCITE
A02AD05;N;ALMASILÁT;ALMASILATE
A02AF;N;ANTACIDA S ANTIFLATULENCII;ANTACIDS WITH ANTIFLATULENTS
A02AF01;N;MAGALDRÁT A ANTIFLATULENCIA;MAGALDRATE AND ANTIFLATULENTS
A02AF02;N;KOMBINACE BĚŽNÝCH SOLÍ S ANTIFLATULENCII;ORDINARY SALT COMBINATIONS AND ANTIFLATULENTS
A02AG;N;ANTACIDA SE SPAZMOLYTIKY;ANTACIDS WITH ANTISPASMODICS
A02AH;N;ANTACIDA S UHLIČITANEM SODNÝM;ANTACIDS WITH SODIUM BICARBONATE
A02AX;N;ANTACIDA, JINÉ KOMBINACE;ANTACIDS, OTHER COMBINATIONS
A02B;N;LÉČIVA K TERAPII PEPTICKÉHO VŘEDU A REFLUXNÍ CHOROBY JÍCNU;DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
A02BA;N;ANTAGONISTÉ H2-RECEPTORŮ;H2-RECEPTOR ANTAGONISTS
A02BA01;N;CIMETIDIN;CIMETIDINE
A02BA02;N;RANITIDIN;RANITIDINE
A02BA03;N;FAMOTIDIN;FAMOTIDINE
A02BA04;N;NIZATIDIN;NIZATIDINE
A02BA05;N;NIPEROTIDIN;NIPEROTIDINE
A02BA06;N;ROXATIDIN;ROXATIDINE
A02BA07;N;RANITIDIN-BISMUT-CITRÁT;RANITIDINE BISMUTH CITRATE
A02BA08;N;LAFUTIDIN;LAFUTIDINE
A02BA51;N;CIMETIDIN, KOMBINACE;CIMETIDINE, COMBINATIONS
A02BA53;N;FAMOTIDIN, KOMBINACE;FAMOTIDINE, COMBINATIONS
A02BB;N;PROSTAGLANDINY;PROSTAGLANDINS
A02BB01;N;MISOPROSTOL;MISOPROSTOL
A02BB02;N;ENPROSTIL;ENPROSTIL
A02BC;N;INHIBITORY PROTONOVÉ PUMPY;PROTON PUMP INHIBITORS
A02BC01;N;OMEPRAZOL;OMEPRAZOLE
A02BC02;N;PANTOPRAZOL;PANTOPRAZOLE
A02BC03;N;LANSOPRAZOL;LANSOPRAZOLE
A02BC04;N;RABEPRAZOL;RABEPRAZOLE
A02BC05;N;ESOMEPRAZOL;ESOMEPRAZOLE
A02BC06;N;DEXLANSOPRAZOL;DEXLANSOPRAZOLE
A02BC07;N;DEXRABEPRAZOL;DEXRABEPRAZOLE
A02BC08;N;VONOPRAZAN;VONOPRAZAN
A02BC09;N;TEGOPRAZAN;TEGOPRAZAN
A02BC53;N;LANSOPRAZOL, KOMBINACE;LANSOPRAZOLE, COMBINATIONS
A02BC54;N;RABEPRAZOL, KOMBINACE;RABEPRAZOLE, COMBINATIONS
A02BD;N;KOMBINACE K ERADIKACI HELICOBACTER PYLORI;COMBINATIONS FOR ERADICATION OF HELICOBACTER PYLORI
A02BD01;N;OMEPRAZOL, AMOXICILIN A METRONIDAZOL;OMEPRAZOLE, AMOXICILLIN AND METRONIDAZOLE
A02BD02;N;LANSOPRAZOL, TETRACYKLIN A METRONIDAZOL;LANSOPRAZOLE, TETRACYCLINE AND METRONIDAZOLE
A02BD03;N;LANSOPRAZOL, AMOXICILIN A METRONIDAZOL;LANSOPRAZOLE, AMOXICILLIN AND METRONIDAZOLE
A02BD04;N;PANTOPRAZOL, AMOXICILIN A KLARITHROMYCIN;PANTOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN
A02BD05;N;OMEPRAZOL, AMOXICILIN A KLARITHROMYCIN;OMEPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN
A02BD06;N;ESOMEPRAZOL, AMOXICILIN A KLARITHROMYCIN;ESOMEPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN
A02BD07;N;LANSOPRAZOL, AMOXICILIN A KLARITHROMYCIN;LANSOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN
A02BD08;N;ZÁSADITÝ CITRONAN BISMUTITÝ, TETRACYKLIN A METRONIDAZOL;BISMUTH SUBCITRATE, TETRACYCLINE AND METRONIDAZOLE
A02BD09;N;LANSOPRAZOL, KLARITHROMYCIN A TINIDAZOL;LANSOPRAZOLE, CLARITHROMYCIN AND TINIDAZOLE
A02BD10;N;LANSOPRAZOL, AMOXICILIN A LEVOFLOXACIN;LANSOPRAZOLE, AMOXICILLIN AND LEVOFLOXACIN
A02BD11;N;PANTOPRAZOL, AMOXICILIN, KLARITHROMYCIN A METRONIDAZOL;PANTOPRAZOLE, AMOXICILLIN, CLARITHROMYCIN AND METRONIDAZOLE
A02BD12;N;RABEPRAZOL, AMOXICILIN A KLARITHROMYCIN;RABEPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN
A02BD13;N;RABEPRAZOL, AMOXICILIN A METRONIDAZOL;RABEPRAZOLE, AMOXICILLIN AND METRONIDAZOLE
A02BD14;N;VONOPRAZAN, AMOXICILIN A KLARITHROMYCIN;VONOPRAZAN, AMOXICILLIN AND CLARITHROMYCIN
A02BD15;N;VONOPRAZAN, AMOXICILIN A METRONIDAZOL;VONOPRAZAN, AMOXICILLIN AND METRONIDAZOLE
A02BD16;N;OMEPRAZOL, AMOXICILIN A RIFABUTIN;OMEPRAZOLE, AMOXICILLIN AND RIFABUTIN
A02BX;N;JINÁ LÉČIVA K TERAPII PEPTICKÉHO VŘEDU A REFLUXNÍ CHOROBY JÍCNU;OTHER DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
A02BX01;N;KARBENOXOLON;CARBENOXOLONE
A02BX02;N;SUKRALFÁT;SUCRALFATE
A02BX03;N;PIRENZEPIN;PIRENZEPINE
A02BX04;N;METHIOSULFONIUM-CHLORID;METHIOSULFONIUM CHLORIDE
A02BX05;N;ZÁSADITÝ BISMUTUM(III)-CITRÁT;BISMUTH SUBCITRATE
A02BX06;N;PROGLUMID;PROGLUMIDE
A02BX07;N;GEFARNÁT;GEFARNATE
A02BX08;N;SULGLIKOTID;SULGLICOTIDE
A02BX09;N;ACETOXOLON;ACETOXOLONE
A02BX10;N;ZOLIMIDIN;ZOLIMIDINE
A02BX11;N;TROXIPID;TROXIPIDE
A02BX12;N;ZÁSADITÝ DUSIČNAN BISMUTITÝ;BISMUTH SUBNITRATE
A02BX13;N;KYSELINA ALGINOVÁ;ALGINIC ACID
A02BX14;N;REBAMIPID;REBAMIPIDE
A02BX15;N;TEPRENON;TEPRENONE
A02BX51;N;KARBENOXOLON, KOMBINACE KROMĚ PSYCHOLEPTIK;CARBENOXOLONE, COMBINATIONS EXCL. PSYCHOLEPTICS
A02BX71;N;KARBENOXOLON, KOMBINACE S PSYCHOLEPTIKY;CARBENOXOLONE, COMBINATIONS WITH PSYCHOLEPTICS
A02BX77;N;GEFARNÁT, KOMBINACE S PSYCHOLEPTIKY;GEFARNATE, COMBINATIONS WITH PSYCHOLEPTICS
A02X;N;JINÁ LÉČIVA K TERAPII ONEMOCNĚNÍ SPOJENÝCH S PORUCHOU ACIDITY;OTHER DRUGS FOR ACID RELATED DISORDERS
A03;N;LÉČIVA K TERAPII FUNKČNÍCH PORUCH GASTROINTESTINÁLNÍHO TRAKTU;DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
A03A;N;LÉČIVA K TERAPII FUNKČNÍCH PORUCH GASTROINTESTINÁLNÍHO TRAKTU;DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
A03AA;N;SYNTETICKÁ ANTICHOLINERGIKA, ESTERY S TERCIÁRNÍ AMINOSKUPINOU;SYNTHETIC ANTICHOLINERGICS, ESTERS WITH TERTIARY AMINO GROUP
A03AA01;N;OXYFENCYKLIMIN;OXYPHENCYCLIMINE
A03AA03;N;KAMYLOFIN;CAMYLOFIN
A03AA04;N;MEBEVERIN;MEBEVERINE
A03AA05;N;TRIMEBUTIN;TRIMEBUTINE
A03AA06;N;ROCIVERIN;ROCIVERINE
A03AA07;N;DICYKLOVERIN;DICYCLOVERINE
A03AA08;N;DIHEXYVERIN;DIHEXYVERINE
A03AA09;N;DIFEMERIN;DIFEMERINE
A03AA30;N;PIPERIDOLÁT;PIPERIDOLATE
A03AB;N;SYNTETICKÁ ANTICHOLINERGIKA, KVARTERNÍ AMONIOVÉ SLOUČENINY;SYNTHETIC ANTICHOLINERGICS, QUATERNARY AMMONIUM COMPOUNDS
A03AB01;N;BENZILONIUM;BENZILONE
A03AB02;N;GLYKOPYRRONIUM-BROMID;GLYCOPYRRONIUM BROMIDE
A03AB03;N;OXYFENONIUM;OXYPHENONIUM
A03AB04;N;PENTHIENACIUM;PENTHIENATE
A03AB05;N;PROPANTHELINIUM;PROPANTHELINE
A03AB06;N;OTILONIUM-BROMID;OTILONIUM BROMIDE
A03AB07;N;METHANTHELINIUM;METHANTHELINE
A03AB08;N;TRIDIHEXETHYLIUM;TRIDIHEXETHYL
A03AB09;N;ISOPROPAMID;ISOPROPAMIDE
A03AB10;N;HEXOCYKLIUM;HEXOCYCLIUM
A03AB11;N;POLDINIUM;POLDINE
A03AB12;N;MEPENZOLACIUM;MEPENZOLATE
A03AB13;N;BEVONIUM;BEVONIUM
A03AB14;N;PIPENZOLACIUM;PIPENZOLATE
A03AB15;N;DIFEMANILIUM;DIPHEMANIL
A03AB16;N;DIFENHYDRAMIN-JODID;(2-BENZHYDRYLOXYETHYL)DIETHYL-METHYLAMMONIUM IODIDE
A03AB17;N;TIEMONIUM-JODID;TIEMONIUM IODIDE
A03AB18;N;PRIFINIUM-BROMID;PRIFINIUM BROMIDE
A03AB19;N;TIMEPIDIUM-BROMID;TIMEPIDIUM BROMIDE
A03AB21;N;FENPIVERINIUM;FENPIVERINIUM
A03AB53;N;OXYFENONIUM, KOMBINACE;OXYPHENONIUM, COMBINATIONS
A03AC;N;SYNTETICKÁ SPAZMOLYTIKA, AMIDY S TERCIÁRNÍMI AMINY;SYNTHETIC ANTISPASMODICS, AMIDES WITH TERTIARY AMINES
A03AC02;N;DIMETHYLAMINOPROPIONYLFENOTHIAZIN;DIMETHYLAMINOPROPIONYLPHENOTHIAZINE
A03AC04;N;NIKOFETAMID;NICOFETAMIDE
A03AC05;N;TIROPRAMID;TIROPRAMIDE
A03AD;N;PAPAVERIN A DERIVÁTY;PAPAVERINE AND DERIVATIVES
A03AD01;N;PAPAVERIN;PAPAVERINE
A03AD02;N;DROTAVERIN;DROTAVERINE
A03AD30;N;MOXAVERIN;MOXAVERINE
A03AE;N;ANTAGONISTÉ SEROTONINOVÝCH RECEPTORŮ;SEROTONIN RECEPTOR ANTAGONISTS
A03AE01;N;ALOSETRON;ALOSETRON
A03AE03;N;CILANSETRON;CILANSETRON
A03AX;N;JINÁ LÉČIVA K TERAPII FUNKČNÍCH PORUCH GASTROINTESTINÁLNÍHO TRAKTU;OTHER DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
A03AX01;N;FENPIPRAN;FENPIPRANE
A03AX02;N;DIISOPROMIN;DIISOPROMINE
A03AX03;N;CHLORBENZOXAMIN;CHLORBENZOXAMINE
A03AX04;N;PINAVERIUM;PINAVERIUM
A03AX05;N;FENOVERIN;FENOVERINE
A03AX06;N;IDANPRAMIN;IDANPRAMINE
A03AX07;N;PROXAZOL;PROXAZOLE
A03AX08;N;ALVERIN;ALVERINE
A03AX09;N;TREPIBUTON;TREPIBUTONE
A03AX10;N;ISOMETHEPTEN;ISOMETHEPTENE
A03AX11;N;KAROVERIN;CAROVERINE
A03AX12;N;FLOROGLUCINOL;PHLOROGLUCINOL
A03AX13;N;SILIKONY;SILICONES
A03AX14;N;VALETHAMÁT;VALETHAMATE
A03AX15;N;SILICE MÁTY PEPRNÉ;MENTHAE PIPERITAE AETHEROLEUM
A03AX30;N;TRIMETHYLDIFENYLPROPYLAMIN;TRIMETHYLDIPHENYLPROPYLAMINE
A03AX58;N;ALVERIN, KOMBINACE;ALVERINE, COMBINATIONS
A03B;N;ALKALOIDY RULÍKU A DERIVÁTY, SAMOTNÉ;BELLADONNA AND DERIVATIVES, PLAIN
A03BA;N;ALKALOIDY RULÍKU, TERCIÁRNÍ AMINY;BELLADONNA ALKALOIDS, TERTIARY AMINES
A03BA01;N;ATROPIN;ATROPINE
A03BA03;N;HYOSCYAMIN;HYOSCYAMINE
A03BA04;N;VŠECHNY ALKALOIDY RULÍKU;BELLADONNA TOTAL ALKALOIDS
A03BB;N;ALKALOIDY RULÍKU, SEMISYNTETICKÉ KVARTERNÍ AMONIOVÉ SLOUČENINY;BELLADONNA ALKALOIDS, SEMISYNTHETIC, QUATERNARY AMMONIUM COMPOUNDS
A03BB01;N;BUTYLSKOPOLAMINIUM;BUTYLSCOPOLAMINE
A03BB02;N;METHYLATROPINIUM;METHYLATROPINE
A03BB03;N;METHYLSKOPOLAMINIUM;METHYLSCOPOLAMINE
A03BB04;N;FENTONIUM;FENTONIUM
A03BB05;N;CIMETROPIUM-BROMID;CIMETROPIUM BROMIDE
A03BB06;N;HOMATROPIN-METHYLBROMID;HOMATROPINE METHYLBROMIDE
A03C;N;SPAZMOLYTIKA V KOMBINACI S PSYCHOLEPTIKY;ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS
A03CA;N;SYNTETICKÁ ANTICHOLINERGIKA V KOMBINACI S PSYCHOLEPTIKY;SYNTHETIC ANTICHOLINERGIC AGENTS IN COMBINATION WITH PSYCHOLEPTICS
A03CA01;N;ISOPROPAMID A PSYCHOLEPTIKA;ISOPROPAMIDE AND PSYCHOLEPTICS
A03CA02;N;KLIDINIUM A PSYCHOLEPTIKA;CLIDINIUM AND PSYCHOLEPTICS
A03CA03;N;OXYFENCYKLIMIN A PSYCHOLEPTIKA;OXYPHENCYCLIMINE AND PSYCHOLEPTICS
A03CA04;N;OTILONIUM-BROMID A PSYCHOLEPTIKA;OTILONIUM BROMIDE AND PSYCHOLEPTICS
A03CA05;N;GLYKOPYRRONIUM-BROMID A PSYCHOLEPTIKA;GLYCOPYRRONIUM BROMIDE AND PSYCHOLEPTICS
A03CA06;N;BEVONIUM A PSYCHOLEPTIKA;BEVONIUM AND PSYCHOLEPTICS
A03CA07;N;AMBUTONIUM A PSYCHOLEPTIKA;AMBUTONIUM AND PSYCHOLEPTICS
A03CA08;N;DIFEMANILIUM A PSYCHOLEPTIKA;DIPHEMANIL AND PSYCHOLEPTICS
A03CA09;N;PIPENZOLACIUM A PSYCHOLEPTIKA;PIPENZOLATE AND PSYCHOLEPTICS
A03CA30;N;EMEPRONIUM A PSYCHOLEPTIKA;EMEPRONIUM AND PSYCHOLEPTICS
A03CA34;N;PROPANTHELINIUM A PSYCHOLEPTIKA;PROPANTHELINE AND PSYCHOLEPTICS
A03CB;N;ALKALOIDY RULÍKU A DERIVÁTY V KOMBINACI S PSYCHOLEPTIKY;BELLADONNA AND DERIVATIVES IN COMBINATION WITH PSYCHOLEPTICS
A03CB01;N;METHYLSKOPOLAMINIUM A PSYCHOLEPTIKA;METHYLSCOPOLAMINE AND PSYCHOLEPTICS
A03CB02;N;VŠECHNY ALKALOIDY RULÍKU A PSYCHOLEPTIKA;BELLADONNA TOTAL ALKALOIDS AND PSYCHOLEPTICS
A03CB03;N;ATROPIN A PSYCHOLEPTIKA;ATROPINE AND PSYCHOLEPTICS
A03CB04;N;HOMATROPIN-METHYLBROMID A PSYCHOLEPTIKA;HOMATROPINE METHYLBROMIDE AND PSYCHOLEPTICS
A03CB31;N;HYOSCYAMIN A PSYCHOLEPTIKA;HYOSCYAMINE AND PSYCHOLEPTICS
A03CC;N;JINÁ SPAZMOLYTIKA V KOMBINACI S PSYCHOLEPTIKY;OTHER ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS
A03D;N;SPAZMOLYTIKA V KOMBINACI S ANALGETIKY;ANTISPASMODICS IN COMBINATION WITH ANALGESICS
A03DA;N;SYNTETICKÁ ANTICHOLINERGIKA V KOMBINACI S ANALGETIKY;SYNTHETIC ANTICHOLINERGIC AGENTS IN COMBINATION WITH ANALGESICS
A03DA01;N;TROPENZILINIUM A ANALGETIKA;TROPENZILONE AND ANALGESICS
A03DA02;N;PITOFENON A ANALGETIKA;PITOFENONE AND ANALGESICS
A03DA03;N;BEVONIUM A ANALGETIKA;BEVONIUM AND ANALGESICS
A03DA04;N;CIKLONIUM A ANALGETIKA;CICLONIUM AND ANALGESICS
A03DA05;N;KAMYLOFIN A ANALGETIKA;CAMYLOFIN AND ANALGESICS
A03DA06;N;TROSPIUM A ANAGETIKA;TROSPIUM AND ANALGESICS
A03DA07;N;TIEMONIUM-JODID A ANALGETIKA;TIEMONIUM IODIDE AND ANALGESICS
A03DB;N;ALKALOIDY RULÍKU A DERIVÁTY V KOMBINACI S ANALGETIKY;BELLADONNA AND DERIVATIVES IN COMBINATION WITH ANALGESICS
A03DB04;N;BUTYLSKOPOLAMINIUM A ANALGETIKA;BUTYLSCOPOLAMINE AND ANALGESICS
A03DC;N;JINÁ SPAZMOLYTIKA V KOMBINACI S ANALGETIKY;OTHER ANTISPASMODICS IN COMBINATION WITH ANALGESICS
A03E;N;SPAZMOLYTIKA A ANTICHOLINERGIKA V KOMBINACI S DALŠÍMI LÉČIVY;ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS
A03EA;N;SPAZMOLYTIKA, PSYCHOLEPTIKA A ANALGETIKA V KOMBINACI;ANTISPASMODICS, PSYCHOLEPTICS AND ANALGESICS IN COMBINATION
A03ED;N;SPAZMOLYTIKA V KOMBINACI S JINÝMI LÉČIVY;ANTISPASMODICS IN COMBINATION WITH OTHER DRUGS
A03F;N;PROKINETIKA;PROPULSIVES
A03FA;N;PROKINETIKA;PROPULSIVES
A03FA01;N;METOKLOPRAMID;METOCLOPRAMIDE
A03FA02;N;CISAPRID;CISAPRIDE
A03FA03;N;DOMPERIDON;DOMPERIDONE
A03FA04;N;BROMOPRID;BROMOPRIDE
A03FA05;N;ALIZAPRID;ALIZAPRIDE
A03FA06;N;KLEBOPRID;CLEBOPRIDE
A03FA07;N;ITOPRID;ITOPRIDE
A03FA08;N;CINITAPRID;CINITAPRIDE
A03FA09;N;MOSAPRID;MOSAPRIDE
A03FA10;N;AKOTIAMID;ACOTIAMIDE
A04;N;ANTIEMETIKA;ANTIEMETICS AND ANTINAUSEANTS
A04A;N;ANTIEMETIKA;ANTIEMETICS AND ANTINAUSEANTS
A04AA;N;ANTAGONISTÉ SEROTONINOVÝCH 5HT3 RECEPTORŮ;SEROTONIN (5HT3) ANTAGONISTS
A04AA01;N;ONDANSETRON;ONDANSETRON
A04AA02;N;GRANISETRON;GRANISETRON
A04AA03;N;TROPISETRON;TROPISETRON
A04AA04;N;DOLASETRON;DOLASETRON
A04AA05;N;PALONOSETRON;PALONOSETRON
A04AA55;N;PALONOSETRON, KOMBINACE;PALONOSETRON, COMBINATIONS
A04AD;N;JINÁ ANTIEMETIKA;OTHER ANTIEMETICS
A04AD01;N;SKOPOLAMIN;SCOPOLAMINE
A04AD02;N;ŠŤAVELAN CERITÝ;CERIUM OXALATE
A04AD04;N;CHLORBUTANOL;CHLOROBUTANOL
A04AD05;N;METOPIMAZIN;METOPIMAZINE
A04AD10;N;DRONABINOL;DRONABINOL
A04AD11;N;NABILON;NABILONE
A04AD12;N;APREPITANT;APREPITANT
A04AD13;N;KASOPITANT;CASOPITANT
A04AD14;N;ROLAPITANT;ROLAPITANT
A04AD51;N;SKOPOLAMIN, KOMBINACE;SCOPOLAMINE, COMBINATIONS
A04AD54;N;CHLORBUTANOL, KOMBINACE;CHLOROBUTANOL, COMBINATIONS
A05;N;LÉČIVA K TERAPII ONEMOCNĚNÍ JATER A ŽLUČOVÝCH CEST;BILE AND LIVER THERAPY
A05A;N;LÉČIVA K TERAPII ONEMOCNĚNÍ ŽLUČNÍKU;BILE THERAPY
A05AA;N;ŽLUČOVÉ KYSELINY A DERIVÁTY;BILE ACIDS AND DERIVATIVES
A05AA01;N;KYSELINA CHENODEOXYCHOLOVÁ;CHENODEOXYCHOLIC ACID
A05AA02;N;KYSELINA URSODEOXYCHOLOVÁ;URSODEOXYCHOLIC ACID
A05AA03;N;KYSELINA CHOLOVÁ;CHOLIC ACID
A05AA04;N;KYSELINA OBETICHOLOVÁ;OBETICHOLIC ACID
A05AB;N;LÉČIVA K TERAPII ONEMOCNĚNÍ ŽLUČOVÝCH CEST;PREPARATIONS FOR BILIARY TRACT THERAPY
A05AB01;N;NIKOMETAMID;NICOTINYL METHYLAMIDE
A05AX;N;JINÁ LÉČIVA K TERAPII ONEMOCNĚNÍ ŽLUČOVÝCH CEST;OTHER DRUGS FOR BILE THERAPY
A05AX01;N;PIPROZOLIN;PIPROZOLIN
A05AX02;N;HYMECHROMON;HYMECROMONE
A05AX03;N;CYKLOBUTYROL;CYCLOBUTYROL
A05AX04;N;MARALIXIBAT-CHLORID;MARALIXIBAT CHLORIDE
A05AX05;N;ODEVIXIBAT;ODEVIXIBAT
A05B;N;LÉČIVA K TERAPII ONEMOCNĚNÍ JATER, HEPATOPROTEKTIVA;LIVER THERAPY, LIPOTROPICS
A05BA;N;LÉČIVA K TERAPII ONEMOCNĚNÍ JATER;LIVER THERAPY
A05BA01;N;ARGININ-GLUTAMÁT;ARGININE GLUTAMATE
A05BA03;N;SILYMARIN;SILYMARIN
A05BA04;N;CITIOLON;CITIOLONE
A05BA05;N;EPOMEDIOL;EPOMEDIOL
A05BA06;N;ORNITHIN-OXOGLURÁT;ORNITHINE OXOGLURATE
A05BA07;N;TIDIACIK-ARGININ;TIDIACIC ARGININE
A05BA08;N;KYSELINA GLYCYRRHIZOVÁ;GLYCYRRHIZIC ACID
A05BA09;N;METADOXIN;METADOXINE
